node_1|node_2|edge|chunk_id
national guard|military reserve|If you're a member of the National Guard or military reserve...|a7518f7de829441ab06b9a2b039b3695
unreimbursed travel expenses|adjusted gross income|...that reduces your adjusted gross income.|a7518f7de829441ab06b9a2b039b3695
form 2106|employee business expenses|Claim these expenses on Form 2106, Employee Business Expenses...|a7518f7de829441ab06b9a2b039b3695
form 1040|form 1040-sr|...and report them on Form 1040, Form 1040-SR, or Form 1040-NR as an adjustment to income.|a7518f7de829441ab06b9a2b039b3695
topic no. 305|recordkeeping|Good records are essential. Refer to Topic no. 305 for information on recordkeeping.|a7518f7de829441ab06b9a2b039b3695
publication 463|travel expenses|For more information on these and other travel expenses, refer to Publication 463, Travel, Entertainment, Gift, and Car Expenses.|a7518f7de829441ab06b9a2b039b3695
self-employed individual|a qualified performing artist|Both are categories of individuals who may deduct work-related education expenses|d429ac3c6c8d4b86b708c4300e62819c
armed forces reservist|fee-based state or local government official|Both are special categories of individuals who may deduct work-related education expenses|d429ac3c6c8d4b86b708c4300e62819c
disabled individual with impairment-related education expenses|self-employed individual|Both are categories of individuals who may deduct work-related education expenses|d429ac3c6c8d4b86b708c4300e62819c
education expenses|tuition, books, supplies, lab fees, and similar items|Tuition, books, supplies, lab fees, and similar items are types of education expenses that can be deducted|d429ac3c6c8d4b86b708c4300e62819c
education expenses|certain transportation and travel costs|Certain transportation and travel costs are types of education expenses that can be deducted|d429ac3c6c8d4b86b708c4300e62819c
education expenses|other educational expenses, such as the cost of research and typing|Other educational expenses, such as the cost of research and typing, are types of education expenses that can be deducted|d429ac3c6c8d4b86b708c4300e62819c
work-related expenses|deductible|To determine if your work-related expenses are deductible, see Are my work-related education expenses deductible?|1b98fcaa02c34dfe894a590efb593e95
education expense|reporting|Reporting the education expense|1b98fcaa02c34dfe894a590efb593e95
self-employed individuals|schedule c (form 1040)|Self-employed individuals include education expenses on Schedule C (Form 10-40), Profit or Loss From Business (Sole Proprietorship) or Schedule F (Form 10-40), Profit or Loss From Farming.|1b98fcaa02c34dfe894a590efb593e95
armed forces reservists|schedule 1 (form 1040)|Armed Forces reservists, qualified performing artists and state or local government officials figure the cost of qualifying work-related education expenses on Schedule 1 (Form 10-40), Additional Income and Adjustments to Income PDF and attach Form 2106, Employee Business Expenses to their return.|1b98fcaa02c34dfe894a590efb593e95
disabled individuals|schedule a (form 1040)|Disabled individuals figure the expenses on Schedule A (Form 10-40), Itemized Deductions and attach Form 2106 to their return.|1b98fcaa02c34dfe894a590efb593e95
work-related education expenses|publication 970|For more information on work-related education expenses, education tax credits, or information for specific types of employees, such as performing artists, refer to Publication 970, Tax Benefits for Education and Publication 463, Travel, Gift, and Car Expenses.|1b98fcaa02c34dfe894a590efb593e95
education benefits|tax benefits for education: information center|For additional information about education benefits, review Tax Benefits for Education: Information Center and Am I eligible to claim an education credit?|1b98fcaa02c34dfe894a590efb593e95
casualty|loss|Casualty loss can result from the damage, destruction, or loss of your property...|0ba95653c3fb4faeac9045c965fb47a2
federally declared disaster|disaster losses|Federal casualty losses, disaster losses and qualified disaster losses are three categories of casualty losses that refer to federally declared disasters.|0ba95653c3fb4faeac9045c965fb47a2
insurance|reimbursement|You may not deduct casualty and theft losses covered by insurance, unless you file a timely claim for reimbursement...|0ba95653c3fb4faeac9045c965fb47a2
property|casualty loss|...the damage, destruction, or loss of your property from any sudden, unexpected, or unusual event...|0ba95653c3fb4faeac9045c965fb47a2
fair market value|decrease|The amount of your casualty loss is the lesser of: The adjusted basis of your property, or The decrease in fair market value of your property as a result of the casualty...|0ba95653c3fb4faeac9045c965fb47a2
publication 547|casualties, disasters, and thefts|For more information, see Publication 547, Casualties, Disasters, and Thefts or refer to the Instructions for Form 4684.|0ba95653c3fb4faeac9045c965fb47a2
adjusted basis|property|The adjusted basis of your property...|9a33cc03a33c45c5b5a181c2188b3cc9
fair market value|property|...or the decrease in fair market value of your property as a result of the casualty|9a33cc03a33c45c5b5a181c2188b3cc9
business or income-producing property|rental property|such as rental property|9a33cc03a33c45c5b5a181c2188b3cc9
loss|adjusted basis|...the amount of your loss is your adjusted basis...|9a33cc03a33c45c5b5a181c2188b3cc9
salvage value|insurance or other reimbursement|...minus any salvage value or insurance or other reimbursement you receive or expect to receive|9a33cc03a33c45c5b5a181c2188b3cc9
theft|money or property|A theft is the taking and removal of money or property with the intent to deprive the owner of it.|9a33cc03a33c45c5b5a181c2188b3cc9
criminal intent|law|...must be illegal under the law of the state where it occurred...|9a33cc03a33c45c5b5a181c2188b3cc9
adjusted basis|property|The amount of your theft loss is generally the adjusted basis of your property...|9a33cc03a33c45c5b5a181c2188b3cc9
ponzi-type investment schemes|theft losses|...Special rules may apply to theft losses from Ponzi-type investment schemes.|9a33cc03a33c45c5b5a181c2188b3cc9
insurance or other reimbursements|losses|Insurance or other reimbursements|9a33cc03a33c45c5b5a181c2188b3cc9
insurance|reimbursements|are related as both refer to financial compensation|5a033d177147484bad5489cc5e731563
salvage value|loss|is a reduction in the loss amount|5a033d177147484bad5489cc5e731563
insurance or other reimbursements|adjusted basis of property|influences the adjusted basis of property|5a033d177147484bad5489cc5e731563
basis of assets|property|provides information about the basis of property|5a033d177147484bad5489cc5e731563
fair market value|decrease in fair market value|is used to determine the decrease in fair market value|5a033d177147484bad5489cc5e731563
cost of repairing the property|decrease in fair market value|can be used as a method to determine the decrease in fair market value|5a033d177147484bad5489cc5e731563
capital gain|insurance or other reimbursements|results from receiving more than the cost or adjusted basis of property|5a033d177147484bad5489cc5e731563
income|capital gain|includes capital gain unless excluded or postponed|5a033d177147484bad5489cc5e731563
personal casualty loss|capital gain|may be deducted to the extent it doesn't exceed the personal capital gain|5a033d177147484bad5489cc5e731563
casualty|loss|a casualty can result in a loss|7393b86ae14c47f0a5a5272300dec176
theft|loss|theft can also result in a loss|7393b86ae14c47f0a5a5272300dec176
itemized deductions|schedule a (form 10-40)|itemized deductions are reported on Schedule A (Form 10-40)|7393b86ae14c47f0a5a5272300dec176
nonresident alien|schedule a (form 10-40-nr)|nonresident aliens report their itemized deductions on Schedule A (Form 10-40-NR)|7393b86ae14c47f0a5a5272300dec176
adjusted gross income|casualty loss|adjusted gross income can affect the calculation of a casualty loss|7393b86ae14c47f0a5a5272300dec176
qualified disaster loss|deduction|a qualified disaster loss can be deducted without itemizing deductions|7393b86ae14c47f0a5a5272300dec176
report|casualty and theft losses|The report involves reporting casualty and theft losses.|9eef33da559f4f888d06516a5ab78b39
form 4684|casualties and thefts|Form 4684 is used to report Casualties and Thefts|9eef33da559f4f888d06516a5ab78b39
section a|personal-use property|Section A of Form 4684 is used for personal-use property|9eef33da559f4f888d06516a5ab78b39
section b|business or income-producing property|Section B of Form 4684 is used for business or income-producing property|9eef33da559f4f888d06516a5ab78b39
publication 584|casualty, disaster, and theft loss workbook (personal-use property)|Publication 584 is a workbook that helps with claiming losses on Form 4684 for personal-use property|9eef33da559f4f888d06516a5ab78b39
publication 584-b|business casualty, disaster, and theft loss workbook|Publication 584-B is a workbook that helps with claiming losses on Form 4684 for business-use property|9eef33da559f4f888d06516a5ab78b39
form 4684|tax records|Form 4684 should be kept with tax records|9eef33da559f4f888d06516a5ab78b39
casualty losses|year|The casualty losses are deductible in the year you sustain the loss.|85679c0a6ca84536b3abf0a500f7b406
casualty losses|reasonable prospect of recovery|You have not sustained a loss if you have a reasonable prospect of recovery through a claim for reimbursement.|85679c0a6ca84536b3abf0a500f7b406
federally declared disaster|year|You can choose to treat the casualty loss as having occurred in the year immediately preceding the tax year in which you sustained the disaster loss,|85679c0a6ca84536b3abf0a500f7b406
revenue procedure 2016-53|guidance|See Revenue Procedure 2016-53 for guidance on the time and manner of making and revoking an election under Code Section 165(i).|85679c0a6ca84536b3abf0a500f7b406
disaster assistance and emergency relief|information|Review Disaster Assistance and Emergency Relief for information regarding timeframes and additional information to your specific qualifying event.|85679c0a6ca84536b3abf0a500f7b406
theft losses|year of discovery|Theft losses are generally deductible in the year you discover the property was stolen|85679c0a6ca84536b3abf0a500f7b406
reasonable prospect of recovery|taxable year|In that case, no deduction is available until the taxable year in which you can determine with reasonable certainty whether or not you'll receive such reimbursement.|85679c0a6ca84536b3abf0a500f7b406
loss deduction|income|When your loss deduction exceeds your income|85679c0a6ca84536b3abf0a500f7b406
loss deduction|income|exceeds|280b4af524b149adbe5eb136e3fd4356
deductions|income|more than|280b4af524b149adbe5eb136e3fd4356
net operating loss (nol)|casualty|from a|280b4af524b149adbe5eb136e3fd4356
publication 536, net operating losses (nols) for individuals, estates, and trusts|net operating loss (nol)|refer to|280b4af524b149adbe5eb136e3fd4356
standard deduction|income|The standard deduction is a specific dollar amount that reduces the amount of income on which you're taxed.|5e389a7a12034cb9a02ac53d77c0a455
basic standard deduction|additional standard deduction amounts for age and/or blindness|Your standard deduction consists of the sum of the basic standard deduction and any additional standard deduction amounts for age and/or blindness.|5e389a7a12034cb9a02ac53d77c0a455
standard deduction|inflation|The standard deduction is adjusted each year for inflation...|5e389a7a12034cb9a02ac53d77c0a455
filing status|standard deduction|...varies according to your filing status, whether you're 65 or older and/or blind, and whether another taxpayer can claim you as a dependent.|5e389a7a12034cb9a02ac53d77c0a455
taxpayers|standard deduction|The standard deduction isn't available to certain taxpayers.|5e389a7a12034cb9a02ac53d77c0a455
itemizing|standard deduction|You can't take the standard deduction if you itemize your deductions.|5e389a7a12034cb9a02ac53d77c0a455
standard deduction|age 65 or older|You're allowed an additional deduction if you're age 65 or older at the end of the tax year.|dd526e88d09e49fdba4ac2bfc090ada1
blindness|blind|You're allowed an additional standard deduction for blindness if you're blind on the last day of the tax year.|dd526e88d09e49fdba4ac2bfc090ada1
age 65 or older|blind|For the definition of blindness, refer to Publication 501, Dependents, Standard Deduction, and Filing Information.|dd526e88d09e49fdba4ac2bfc090ada1
additional standard deduction|form 10-40|If you or your spouse were age 65 or older or blind at the end of the year, be sure to claim an additional standard deduction by checking the appropriate boxes for age or blindness on Form 10-40.|dd526e88d09e49fdba4ac2bfc090ada1
net qualified disaster loss|standard deduction|If you had a net qualified disaster loss and you elect to increase your standard deduction by the amount of your net qualified disaster loss, use Schedule A (Form 10-40) to figure your standard deduction.|dd526e88d09e49fdba4ac2bfc090ada1
standard deduction|dependent|If you can be claimed as a dependent by another taxpayer, your standard deduction for 20[...]|95b85cef78164f4ba467d850eb80edb2
earned income|standard deduction|your earned income plus $400 (but the total can't be more than the basic standard deduction for your filing status)|95b85cef78164f4ba467d850eb80edb2
filing status|basic standard deduction|the basic standard deduction for your filing status|95b85cef78164f4ba467d850eb80edb2
nonresident alien|dual status alien|You are a nonresident alien or dual status alien during the year (see below for certain exceptions)|95b85cef78164f4ba467d850eb80edb2
spouse|taxpayer|whose spouse itemizes deductions|95b85cef78164f4ba467d850eb80edb2
individual|estate|You are an individual who files a return for a period of less than 12 months due to a change in your annual accounting period You are filing as an estate or trust, common trust fund, or partnership|95b85cef78164f4ba467d850eb80edb2
nonresident alien|u.s. citizen|You are a nonresident alien who is married to a U.S. citizen or resident alien at the end of the tax year and make a joint election with your spouse to be treated as a U.S. resident for the entire tax year|95b85cef78164f4ba467d850eb80edb2
nonresident alien|u.s. citizen/resident|You are a nonresident alien at the beginning of the tax year who is a U.S. citizen or resident by the end of the tax year, is married to a U.S. citizen or resident at the end of such tax year, and make a joint election with your spouse to be treated as a U.S. resident for the entire tax year|95b85cef78164f4ba467d850eb80edb2
students|business apprentices|are related as both are eligible for benefits|5fcd587c35bf41d19480fb31c5c45c4c
india|united states|have a treaty between them regarding income tax|5fcd587c35bf41d19480fb31c5c45c4c
publications|code section 63(c)|are related as they provide information on standard deduction and income tax|5fcd587c35bf41d19480fb31c5c45c4c
publication 519|publication 501|are related as both are U.S. Tax Guides for Aliens|5fcd587c35bf41d19480fb31c5c45c4c
publication 17|publications|is a related publication that provides information on standard deduction and income tax|5fcd587c35bf41d19480fb31c5c45c4c
irs|form 10-40 or form 10-40-sr|The IRS uses this form to figure your tax and certain credits.|0e6d1cce131241be889c8e48bd8f4ccb
irs|earned income credit|The IRS figures your tax to claim this credit.|0e6d1cce131241be889c8e48bd8f4ccb
irs|tax credit for the elderly or disabled|The IRS figures your tax to claim this credit.|0e6d1cce131241be889c8e48bd8f4ccb
form 10-40 or form 10-40-sr|refund|If you overpaid your tax, the IRS will send a refund.|0e6d1cce131241be889c8e48bd8f4ccb
form 10-40 or form 10-40-sr|bill|If you underpaid your tax, the IRS will send a bill.|0e6d1cce131241be889c8e48bd8f4ccb
bill|payment due date of the return|You can avoid interest and late-payment penalties if you pay by this date.|0e6d1cce131241be889c8e48bd8f4ccb
underpayment of estimated tax|penalty|The IRS may charge a penalty for underpaying your taxes.|0e6d1cce131241be889c8e48bd8f4ccb
children|unearned income|The unearned income of certain children may be subject to a specific tax.|4f5b31860d7b4dc7af6dc9a6a3de1227
tax|children who have unearned income|Tax for certain children who have unearned income|4f5b31860d7b4dc7af6dc9a6a3de1227
form 8615|tax on unearned income|Use Form 8615 to figure the child's tax on unearned income over $2,500|4f5b31860d7b4dc7af6dc9a6a3de1227
child|file a return|For either situation above to apply, your child must be required to file a return.|4f5b31860d7b4dc7af6dc9a6a3de1227
age 18|earned income|The child was age 18 at the end of the tax year and didn't have earned income that was more than half of the child's support|4f5b31860d7b4dc7af6dc9a6a3de1227
form 8814|parents' election to report child's interest and dividends|See Form 88-14, Parents' Election To Report Child's Interest and Dividends|4f5b31860d7b4dc7af6dc9a6a3de1227
child|tax year|The child was age 18 at the end of the tax year and didn't have earned income that was more than half of the child's support,|694d344f42c64ff1a9f1e45919dbacb9
full-time student|end of the tax year|The child was a full-time student at least age 19 and under age 24 at the end of the tax year...|694d344f42c64ff1a9f1e45919dbacb9
child's parents|end of the tax year|...At least one of the child's parents was alive at the end of the tax year.|694d344f42c64ff1a9f1e45919dbacb9
form 86-15|net investment income tax (niit)|If your child is required to file Form 86-15, the child may be subject to the net investment income tax (NIIT).|694d344f42c64ff1a9f1e45919dbacb9
magi|threshold amount|...the excess of modified adjusted gross income (MAGI) over a threshold amount.|694d344f42c64ff1a9f1e45919dbacb9
form 89-60|net investment income tax|Use Form 89-60, Net Investment Income Tax to figure this tax.|694d344f42c64ff1a9f1e45919dbacb9
topic no. 559|questions and answers on the net investment income tax|For more information, see Topic no. 559 and Questions and answers on the net investment income tax.|694d344f42c64ff1a9f1e45919dbacb9
parent|child's interest|You may be able to elect to report your child's interest...|694d344f42c64ff1a9f1e45919dbacb9
form 88-14pdf|form 10-40 or form 10-40-sr or form 10-40-nr|To make this election, attach Form 88-14PDF to your Form 10-40, Form 10-40-SR or Form 10-40-NR...|694d344f42c64ff1a9f1e45919dbacb9
tax year|child|The tax year refers to a period of time that affects your child's taxes.|59fa409890e34d9f963c2402bf12d0a1
gross income|$12,500|The gross income was less than $12,500 for the tax year.|59fa409890e34d9f963c2402bf12d0a1
interest and dividends|capital gain distributions|Interest and dividends also include capital gain distributions.|59fa409890e34d9f963c2402bf12d0a1
estimated tax payments|none|No estimated tax payments were made for your child for the tax year.|59fa409890e34d9f963c2402bf12d0a1
overpayment|previous tax year|No overpayment from the previous tax year was applied to the current tax year under your child's name and Social Security number.|59fa409890e34d9f963c2402bf12d0a1
federal income tax|not withheld|No federal income tax was withheld from your child's income under the backup withholding rules.|59fa409890e34d9f963c2402bf12d0a1
child|return|Your child is required to file a return unless you make this election.|59fa409890e34d9f963c2402bf12d0a1
parent|qualified|You're the parent qualified to make the election or you file a joint return with your child's other parent.|59fa409890e34d9f963c2402bf12d0a1
sole proprietor|independent contractor|As a sole proprietor, you're also considered an independent contractor.|ae7f912cd9d64625a4f4dc903783cfe3
partner|member of a multi-member limited liability company (llc)|A partner in a partnership is treated as a member of a multi-member LLC for federal tax purposes.|ae7f912cd9d64625a4f4dc903783cfe3
single member llc|qualified joint venture|The term sole proprietor also includes the member of a single member LLC that's disregarded for federal income tax purposes and a member of a qualified joint venture.|ae7f912cd9d64625a4f4dc903783cfe3
net earnings from self-employment|gross income|You calculate net earnings by subtracting ordinary and necessary trade or business expenses from the gross income you derived from your trade or business.|ae7f912cd9d64625a4f4dc903783cfe3
social security benefits|self-employment tax|You can be liable for paying self-employment tax even if you currently receive Social Security benefits.|ae7f912cd9d64625a4f4dc903783cfe3
net earnings subject to the social security tax|annual changes|The law sets a maximum amount of net earnings subject to the Social Security tax. This amount changes annually.|ae7f912cd9d64625a4f4dc903783cfe3
loss|income|related concepts, as they are both types of financial transactions|002fb743bdc8472db4b9622f532e57c9
optional methods|schedule se (form 10-40)|relation between a computation method and the form used to report it|002fb743bdc8472db4b9622f532e57c9
church employee|self-employment tax|related concepts, as church employees may be subject to self-employment tax|002fb743bdc8472db4b9622f532e57c9
schedule se (form 10-40)|u.s. individual income tax return (form 1040)|relation between a schedule used for reporting and the main form it is attached to|002fb743bdc8472db4b9622f532e57c9
church-related income|self-employment tax|related concepts, as church-related income may be subject to self-employment tax|002fb743bdc8472db4b9622f532e57c9
social security|medicare taxes|related concepts, as they are both types of taxes and part of the self-employment tax rate|002fb743bdc8472db4b9622f532e57c9
self-employment income|threshold|The Additional Medicare tax applies to self-employment income above a threshold.|70bff65aac8542aaaf35bba15228ac08
married individual filing a joint return|threshold|The threshold amounts are $250,000 for a married individual filing a joint return...|70bff65aac8542aaaf35bba15228ac08
married individual filing a separate return|threshold|The threshold amounts are $125,000 for a married individual filing a separate return...|70bff65aac8542aaaf35bba15228ac08
all others|threshold|The threshold amounts are $200,000 for all others...|70bff65aac8542aaaf35bba15228ac08
form 8959|instructions|...refer to the Instructions for Form 8959...|70bff65aac8542aaaf35bba15228ac08
schedule se (form 10-40)|self-employment tax|Compute self-employment tax on Schedule SE (Form 10-40).|70bff65aac8542aaaf35bba15228ac08
schedule se (attach schedule 1 (form 10-40))|deduction|You can deduct one-half of the self-employment tax.|70bff65aac8542aaaf35bba15228ac08
social security program|schedule se (form 10-40)|The Social Security Administration uses the information from Schedule SE to compute your benefits under the Social Security program.|70bff65aac8542aaaf35bba15228ac08
taxpayer|regular tax amount|The alternative minimum tax (AMT) applies to taxpayers with high economic income by setting a limit on those benefits.|6c734f17f09b427893d98c61e2ce1eec
alternative minimum tax (amt)|taxpayers|The alternative minimum tax (AMT) applies to taxpayers with high economic income...|6c734f17f09b427893d98c61e2ce1eec
regular tax|alternative minimum tax (amt)|...by setting a limit on those benefits. The AMT is the excess of the tentative minimum tax over the regular tax.|6c734f17f09b427893d98c61e2ce1eec
tentative minimum tax|regular tax|...Thus, the AMT is owed only if the tentative minimum tax for the year is greater than the regular tax for that year.|6c734f17f09b427893d98c61e2ce1eec
taxable income|exclusions and deductions|Compute the tentative minimum tax by: Computing taxable income eliminating or reducing certain exclusions and deductions...|6c734f17f09b427893d98c61e2ce1eec
amt exemption amounts|taxpayers|...Subtracting the AMT exemption amount, and...|6c734f17f09b427893d98c61e2ce1eec
amt tax rates|taxpayers|...Multiplying the amount computed in (2) by the appropriate AMT tax rates, and...|6c734f17f09b427893d98c61e2ce1eec
regular tax liability|amt tax liability|...some tax credits that reduce regular tax liability don't reduce AMT tax liability.|6c734f17f09b427893d98c61e2ce1eec
amt|form 10-40 (and form 10-40-sr)|The AMT instructions are found in the Instructions for Form 10-40 (and Form 10-40-SR)|6773d1d2331d45febc6c6c856b22a3e1
alternative minimum tax|form 6-251|If subject to the Alternative Minimum Tax, you may be required to complete and attach Form 6-251|6773d1d2331d45febc6c6c856b22a3e1
amt|previous years|You paid AMT in one or more previous years, which affects your eligibility for a tax credit|6773d1d2331d45febc6c6c856b22a3e1
tax credit|form 8-801|If eligible, you should complete and attach Form 8-801 to claim the minimum tax credit|6773d1d2331d45febc6c6c856b22a3e1
ira|retirement|IRAs are for purposes other than retirement, unless an exception applies.|f4061007074b4c8ba9afba8eac28162c
early distributions|traditional and roth iras|you'll be assessed a 10% additional tax on early distributions from traditional and Roth IRAs|f4061007074b4c8ba9afba8eac28162c
ira before reaching age 59½|early distributions|Generally, early distributions are those you receive from an IRA before reaching age 59½.|f4061007074b4c8ba9afba8eac28162c
10% additional tax|part of the distribution that you have to include in gross income|The 10% additional tax applies to the part of the distribution that you have to include in gross income.|f4061007074b4c8ba9afba8eac28162c
rollover or transfer|another ira or qualified retirement plan|Distributions that you roll over or transfer to another IRA or qualified retirement plan aren't subject to this 10% additional tax.|f4061007074b4c8ba9afba8eac28162c
one ira-to-ira rollover per year rule|rollover or transfer|This is true as long as you follow the one IRA-to-IRA rollover per year rule.|f4061007074b4c8ba9afba8eac28162c
unreimbursed medical expenses|certain percentage of your adjusted gross income|Exceptions to the 10% additional tax apply to an early distribution from a traditional or Roth IRA that is: Not in excess of your unreimbursed medical expenses that are more than a certain percentage of your adjusted gross income|f4061007074b4c8ba9afba8eac28162c
health insurance premiums|unemployment compensation|Exceptions to the 10% additional tax apply to an early distribution from a traditional or Roth IRA that is: Not in excess of certain health insurance premiums after you have received unemployment compensation (or would have been eligible to receive unemployment compensation but for your self-employed status)|f4061007074b4c8ba9afba8eac28162c
totally and permanently disabled|early distribution|Exceptions to the 10% additional tax apply to an early distribution from a traditional or Roth IRA that is: Made because you're totally and permanently disabled|f4061007074b4c8ba9afba8eac28162c
terminally ill|early distribution|Exceptions to the 10% additional tax apply to an early distribution from a traditional or Roth IRA that is: Made to you because you are terminally ill|f4061007074b4c8ba9afba8eac28162c
ira|owner|The IRA is owned by someone.|679cd70d288a4adf8c7bafbd3aa34701
beneficiary|estate|A beneficiary or estate receives the IRA distribution upon the owner's death.|679cd70d288a4adf8c7bafbd3aa34701
designated beneficiary|ira owner|The designated beneficiary is related to the IRA owner.|679cd70d288a4adf8c7bafbd3aa34701
life expectancy|joint life expectancies|Life expectancy refers to the expected remaining lifetime, and joint life expectancies refer to the combined expected remaining lifetimes of two individuals.|679cd70d288a4adf8c7bafbd3aa34701
qualified higher education expenses|ira distribution|The IRA distribution is used to cover qualified higher education expenses.|679cd70d288a4adf8c7bafbd3aa34701
first-time home purchase|ira distribution|The IRA distribution is used for a qualified first-time home purchase, up to $10,000.|679cd70d288a4adf8c7bafbd3aa34701
government|irs levy|The government receives the IRA distribution as part of an IRS levy under section 6.331 of the Code.|679cd70d288a4adf8c7bafbd3aa34701
reservist|distribution|A qualified reservist distribution is an exception to IRA distribution rules.|679cd70d288a4adf8c7bafbd3aa34701
birth or adoption distribution|ira distribution|The IRA distribution is a qualified birth or adoption distribution, up to $5,000.|679cd70d288a4adf8c7bafbd3aa34701
10% additional tax|form 5329|reported on|d9d08592c5eb4ffb94ba02e57b708e7a
10% additional tax|schedule 2 (form 10-40)|entered directly and checked box to indicate not liable to file Form 5-329|d9d08592c5eb4ffb94ba02e57b708e7a
exceptions to the 10% additional tax|form 5-329|filed to claim the exception if Form 10-99-R doesn't have a distribution code 2, 3, or 4|d9d08592c5eb4ffb94ba02e57b708e7a
tax withholding|iras|required for distributions from IRAs unless electing out of withholding|d9d08592c5eb4ffb94ba02e57b708e7a
estimated tax payments|publication 505, tax withholding and estimated tax|refer to for more information|d9d08592c5eb4ffb94ba02e57b708e7a
retirement funds|normal retirement|has a purpose in|9d9d2d362acc40fa925501e8c8a8fa05
certain early distributions|qualified retirement plans|are from|9d9d2d362acc40fa925501e8c8a8fa05
early distributions|gross income|include in|9d9d2d362acc40fa925501e8c8a8fa05
qualified employee plan|section 401(a)|under|9d9d2d362acc40fa925501e8c8a8fa05
qualified employee annuity plan|section 403(a)|under|9d9d2d362acc40fa925501e8c8a8fa05
tax-sheltered annuity plan|section 403(b)|for employees of public schools or tax-exempt organizations, and for|9d9d2d362acc40fa925501e8c8a8fa05
individual retirement account|section 408(a)|under|9d9d2d362acc40fa925501e8c8a8fa05
individual retirement annuity|section 408(b)|under|9d9d2d362acc40fa925501e8c8a8fa05
eligible state or local government section 457 deferred compensation plan|qualified retirement plans|is not, and distributions from it are not subject to the 10% additional tax on early distributions because|9d9d2d362acc40fa925501e8c8a8fa05
exceptions to the 10% additional tax|distributions that aren't taxable|The exceptions apply to distributions from a qualified plan other than an IRA.|0e47721c30ac4dac802c431076e1d19b
qualified retirement plan|ira|There are certain distributions that you roll over to another qualified retirement plan, aren't subject to the 10% additional tax.|0e47721c30ac4dac802c431076e1d19b
topic no. 413|do i need to report the transfer or rollover of an ira or retirement plan on my tax return?|For more information on rollovers, refer to Topic no. 413 and visit Do I need to report the transfer or rollover of an IRA or retirement plan on my tax return?|0e47721c30ac4dac802c431076e1d19b
series of substantially equal periodic payments|qualified plan other than an ira|If these distributions are from a qualified plan other than an IRA, you must separate from service with this employer before the payments begin for this exception to apply.|0e47721c30ac4dac802c431076e1d19b
totally and permanently disabled|distributions made because you're totally and permanently disabled|One of the exceptions to the 10% additional tax is distributions made because you're totally and permanently disabled.|0e47721c30ac4dac802c431076e1d19b
terminally ill|distributions made to you because you are terminally ill|Another exception is distributions made to you because you are terminally ill.|0e47721c30ac4dac802c431076e1d19b
death|distributions made to your beneficiary or estate on or after your death|If you pass away, the 10% additional tax does not apply to distributions made to your beneficiary or estate on or after your death.|0e47721c30ac4dac802c431076e1d19b
age 55|distributions made to you after you separated from service with your employer after attainment of age 55|If you separate from service with your employer after attainment of age 55, the 10% additional tax does not apply.|0e47721c30ac4dac802c431076e1d19b
age 50 or 25 years of service under the plan|qualified public safety employee|For a qualified public safety employee from a governmental plan (within in the meaning of section 414(d)), the 10% additional tax does not apply if they have separated from service during or after the year in which they attained age 50 or 25 years of service under the plan, whichever is earlier.|0e47721c30ac4dac802c431076e1d19b
employee|plan|The plan is made for an employee.|82f1e57c58144d5d835d7a87647d881c
spouse|former spouse|A former spouse can be the alternate payee.|82f1e57c58144d5d835d7a87647d881c
medical expenses|adjusted gross income|Deductible medical expenses exceed 7.5% of adjusted gross income.|82f1e57c58144d5d835d7a87647d881c
employer plan|written election|A written election provides a specific schedule for distribution of interest.|82f1e57c58144d5d835d7a87647d881c
employee stock ownership plans|dividends|Distributions are made from employee stock ownership plans in the form of dividends.|82f1e57c58144d5d835d7a87647d881c
irs levy|plan|The IRS can levy a plan to make distributions.|82f1e57c58144d5d835d7a87647d881c
reservist|distributions|Qualified reservist distributions are made to individuals called to active duty for at least 180 days after September 11, 2001.|82f1e57c58144d5d835d7a87647d881c
federal employees|phased retirement annuity payments|Phased retirement annuity payments are made to federal employees.|82f1e57c58144d5d835d7a87647d881c
defined contribution plan|qualified birth or adoption distribution|Distributions up to $5,000 can be made from a defined contribution plan for qualified birth or adoption distributions.|82f1e57c58144d5d835d7a87647d881c
distributions|defined contribution plan|A distribution is made from a defined contribution plan.|02e539fbb1804cd4851e97026600ff0c
qualified birth or adoption distribution|distribution|The qualified birth or adoption distribution is a type of distribution.|02e539fbb1804cd4851e97026600ff0c
publication 575|pension and annuity income|Publication 575 provides information on Pension and Annuity Income.|02e539fbb1804cd4851e97026600ff0c
form 5,329|instructions for form 5,329|Form 5,329 requires instructions for reporting additional taxes.|02e539fbb1804cd4851e97026600ff0c
topic no. 557|tax on early distributions from iras|Topic no. 557 provides information on the tax on early distributions from IRAs.|02e539fbb1804cd4851e97026600ff0c
schedule 2 (form 10,40)|additional taxespdf|The additional taxes are reported on Schedule 2 of Form 10,40.|02e539fbb1804cd4851e97026600ff0c
form 5,329|additional taxes on qualified plans (including iras) and other tax-favored accounts|Form 5,329 requires reporting additional taxes on qualified plans and other tax-favored accounts.|02e539fbb1804cd4851e97026600ff0c
distribution code 1|schedule 10,99-r|The distribution code 1 is used to report distributions on Schedule 10,99-R.|02e539fbb1804cd4851e97026600ff0c
exceptions|form 5,329 filing requirement|Exceptions apply to the Form 5,329 filing requirement.|02e539fbb1804cd4851e97026600ff0c
tax|withholding|Tax is related to Withholding in that it is a form of tax collection.|14e781d9e4804426a9271cc851b51745
